"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08000890",-4.03543909136029,5.50706879559041,76.1821227856242,6.08297835408937e-08,8.25899459706215e-07,"BraA08000890","BraA08000890","AT2G06520","PSBX","photosystem II subunit X","-","-"
"BraA07001318",-5.18340172895228,2.90345764341969,75.9784562827922,6.20568670583706e-08,8.39661960473362e-07,"BraA07001318","BraA07001318","AT1G27120","AT1G27120","Galactosyltransferase family protein","-","-"
"BraA09004859",-3.83859416739981,10.7388183222682,75.9420708651759,6.22789666154756e-08,8.41599909357393e-07,"BraA09004859","BraA09004859","AT3G54890","LHCA1","chlorophyll a-b binding protein 6","-","YES"
"BraA02001544",6.51094396198106,6.6800294683074,75.9344788727107,6.23254198863093e-08,8.41599909357393e-07,"BraA02001544","BraA02001544","AT5G54080","HGO","homogentisate 1,2-dioxygenase","-","-"
"BraA07003770",-3.87153260719368,7.96822428516019,75.8281906929474,6.29798204939519e-08,8.4850210213427e-07,"BraA07003770","BraA07003770","AT1G75350","emb2184","Ribosomal protein L31","-","-"
"BraA05001630",-3.92226642232395,6.2540928359679,75.8163793405825,6.30530106829653e-08,8.48761485121592e-07,"BraA05001630","BraA05001630","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA08000572",-5.06631021849241,10.3499034557448,75.6832276665812,6.38846593383324e-08,8.57773777556586e-07,"BraA08000572","BraA08000572","AT1G44575","NPQ4","Chlorophyll A-B binding family protein","-","YES"
"BraA07001735",-3.36068510326613,4.11677618303269,75.541833256711,6.47811392885062e-08,8.683100577887e-07,"BraA07001735","BraA07001735","AT5G66530","AT5G66530","Galactose mutarotase-like superfamily protein","-","-"
"BraA08002054",-3.96360143632182,4.21195301708212,75.3610775628634,6.59475722924573e-08,8.81691586740958e-07,"BraA08002054","BraA08002054","AT1G55210","AT1G55210","Disease resistance-responsive (dirigent-like protein) family protein","-","-"
"BraA07004172",-3.49060734337271,6.77188978103046,75.2092726806636,6.6945201466251e-08,8.91243392785893e-07,"BraA07004172","BraA07004172","AT1G80380","AT1G80380","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA07003458",-3.30874645214412,4.30096419733608,74.8533107436301,6.93508315763603e-08,9.18606637782496e-07,"BraA07003458","BraA07003458","AT5G26780","SHM2","serine hydroxymethyltransferase 2","-","-"
"BraA04000451",-3.7243761449571,8.63958500750148,74.8116536910844,6.96385684619382e-08,9.20360194103292e-07,"BraA04000451","BraA04000451","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA03006540",-4.8012183053034,4.60943684619157,74.6751795710272,7.05905517356103e-08,9.27997428664631e-07,"BraA03006540","BraA03006540","AT4G37800","XTH7","xyloglucan endotransglucosylase/hydrolase 7","-","-"
"BraA09002415",3.62093791729465,7.79108635018372,74.4418459771111,7.22518157379644e-08,9.44279751829556e-07,"BraA09002415","BraA09002415","AT5G47720","AACT1","Thiolase family protein","-","YES"
"BraA06003555",4.72462346341789,6.3841845486278,74.3912114787794,7.26180182745024e-08,9.47526646407603e-07,"BraA06003555","BraA06003555","AT5G23750","AT5G23750","Remorin family protein","-","-"
"BraA02000032",-3.56557579064713,7.89748674605315,74.3771593612536,7.2720011767127e-08,9.48071338166951e-07,"BraA02000032","BraA02000032","AT5G01410","RSR4","Aldolase-type TIM barrel family protein","-","YES"
"BraA02002124",-7.59832123958862,3.98237079372009,74.0971289087103,7.47860484328704e-08,9.71786340330015e-07,"BraA02002124","BraA02002124","AT1G69870","NRT1.7","nitrate transporter 1.7","-","-"
"BraA09004180",-4.61132772489525,4.66785053901551,74.0721531379157,7.49734575362394e-08,9.73417762203188e-07,"BraA09004180","BraA09004180","AT1G24100","UGT74B1","UDP-glucosyl transferase 74B1","-","-"
"BraA06004285",3.63432863169286,6.82876085995286,73.9214191154219,7.61156334549889e-08,9.84187023868287e-07,"BraA06004285","BraA06004285","AT3G26840","PES2","Esterase/lipase/thioesterase family protein","-","-"
"BraA07002578",4.47428509681788,3.86128055069101,73.8712387769943,7.65001443789374e-08,9.87149159761304e-07,"BraA07002578","BraA07002578","AT1G76590","AT1G76590","PLATZ transcription factor family protein","-","-"
"BraA03001219",6.85398161662807,4.56580313782059,73.8669748148284,7.65329165549562e-08,9.87149159761304e-07,"BraA03001219","BraA03001219","AT5G58670","PLC1","phospholipase C1","-","-"
"BraA08001197",-4.68178853064439,6.93709128636909,73.7782137790619,7.72186703146887e-08,9.94364153905026e-07,"BraA08001197","BraA08001197","AT4G15510","PPD1","Photosystem II reaction center PsbP family protein","-","-"
"BraA02003931",-3.88853789971181,5.75405087246498,73.7178271430333,7.76891042212195e-08,9.97158029384266e-07,"BraA02003931","BraA02003931","AT5G49030","OVA2","tRNA synthetase class I (I, L, M and V) family protein","-","-"
"BraA09003712",-4.15655353697965,8.6276240664264,73.5890626651623,7.87028834262125e-08,1.00688501918283e-06,"BraA09003712","BraA09003712","AT1G30380","PSAK","photosystem I subunit K","-","YES"
"BraA07000694",-5.03994753965814,8.70151910755318,73.5563751041534,7.8962566992237e-08,1.0085673329463e-06,"BraA07000694","BraA07000694","AT5G48300","ADG1","ADP glucose pyrophosphorylase 1","-","-"
"BraA10002294",-3.27130349873867,8.69146605328037,73.4750852590041,7.96124991076331e-08,1.01377883910551e-06,"BraA10002294","BraA10002294","AT5G13500","AT5G13500","Hyp O-arabinosyltransferase-like protein","-","-"
"BraA09001551",-4.2990297746145,5.42439981419288,73.3476315091844,8.06435055529029e-08,1.02339209950039e-06,"BraA09001551","BraA09001551","AT1G64150","AT1G64150","Uncharacterized protein family (UPF0016)","-","-"
"BraA10000984",-3.66379702392868,3.56426753327284,73.2771078664718,8.12203504195676e-08,1.02905268454293e-06,"BraA10000984","BraA10000984","AT5G54180","PTAC15","plastid transcriptionally active 15","-","-"
"BraA03004213",3.15451683875731,6.90534219485205,73.026777530875,8.33051887713171e-08,1.04824903897376e-06,"BraA03004213","BraA03004213","AT3G20770","EIN3","Ethylene insensitive 3 family protein","YES","YES"
"BraA10001401",-4.52062177943939,5.06588099142612,73.0232487214165,8.33349992219228e-08,1.04824903897376e-06,"BraA10001401","BraA10001401","AT5G58670","PLC1","phospholipase C1","-","-"
"BraA08003418",5.18797431590956,3.24309092466062,73.0090760159588,8.34548457872366e-08,1.04891809369645e-06,"BraA08003418","BraA08003418","AT1G15010","AT1G15010","mediator of RNA polymerase II transcription subunit","-","-"
"BraA10001898",3.11748946100416,4.83291935511088,72.8813432035642,8.45436447134243e-08,1.05695646608231e-06,"BraA10001898","BraA10001898","AT5G18630","AT5G18630","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09001641",-3.30716643114824,4.95343370372527,72.8789053868143,8.45645774528231e-08,1.05695646608231e-06,"BraA09001641","BraA09001641","AT1G62960","ACS10","ACC synthase 10","-","-"
"BraA01002771",-3.87193539950038,2.88363589458727,72.845256737199,8.48540957400639e-08,1.0597333734648e-06,"BraA01002771","BraA01002771","AT3G45050","AT3G45050","transmembrane protein","-","-"
"BraA02001296",5.10820227283551,3.5928751995136,72.7410792063462,8.57574523736657e-08,1.06762600518355e-06,"BraA02001296","BraA02001296","AT5G57910","AT5G57910","ribosomal RNA small subunit methyltransferase G","-","-"
"BraA07000879",-5.84497448205577,3.26055210580406,72.5677055217997,8.72845834536217e-08,1.08235634769597e-06,"BraA07000879","BraA07000879","AT3G23760","AT3G23760","transferring glycosyl group transferase","-","-"
"BraA04002882",5.14082332840434,2.70745464949783,72.4919635938686,8.79611934290358e-08,1.08646572982677e-06,"BraA04002882","BraA04002882","AT3G55960","AT3G55960","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA02000212",3.25331942415279,4.87694596860353,72.0146592103588,9.23612728759964e-08,1.12967665531489e-06,"BraA02000212","BraA02000212","AT5G06300","LOG7","Putative lysine decarboxylase family protein","-","-"
"BraA07000699",-3.15015175171619,6.07385207231541,71.9758539394465,9.27295997861105e-08,1.13072826256143e-06,"BraA07000699","BraA07000699","AT2G04039","AT2G04039","DUF2996 family protein","-","-"
"BraA02003699",-3.36738866030701,7.34039291932772,71.9700907745097,9.27844407283818e-08,1.13072826256143e-06,"BraA02003699","BraA02003699","AT3G27160","GHS1","Ribosomal protein S21 family protein","-","-"
"BraA08002068",-7.70700714169617,3.68560447131058,71.8648599096363,9.37921477026047e-08,1.14058209910988e-06,"BraA08002068","BraA08002068","AT3G13520","AGP12","arabinogalactan protein 12","-","-"
"BraA05003496",-6.04547626352547,5.78782778927682,71.7249354324876,9.51509452984742e-08,1.15354027366471e-06,"BraA05003496","BraA05003496","AT3G16250","PnsB3","NDH-dependent cyclic electron flow 1","-","-"
"BraA09005075",-6.11617295012822,4.49216885533247,88.2686438345321,9.55273138782557e-08,1.15632139322172e-06,"BraA09005075","BraA09005075","AT3G55870","AT3G55870","ADC synthase superfamily protein","-","-"
"BraA01003250",-7.42047242841693,7.85348004133195,71.6370067424052,9.60159842189965e-08,1.15998685611189e-06,"BraA01003250","BraA01003250","AT3G23810","SAHH2","S-adenosyl-l-homocysteine (SAH) hydrolase 2","-","YES"
"BraA02001305",-3.04216209618784,4.76106782264709,71.5441722976071,9.69387671597264e-08,1.16891068201184e-06,"BraA02001305","BraA02001305","AT5G57800","CER3","Fatty acid hydroxylase superfamily","-","-"
"BraA03005961",-3.71944286119347,3.71598734926869,71.522684990837,9.71537526838999e-08,1.16895589660857e-06,"BraA03005961","BraA03005961","AT4G30470","AT4G30470","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA09004772",-3.83783552902595,5.18501001547686,71.5206177424725,9.71744638679371e-08,1.16895589660857e-06,"BraA09004772","BraA09004772","AT3G53900","UPP","uracil phosphoribosyltransferase","-","-"
"BraA03003597",-6.28316676846236,6.05163137948632,71.5197901123474,9.71827570362897e-08,1.16895589660857e-06,"BraA03003597","BraA03003597","AT3G10050","OMR1","L-O-methylthreonine resistant 1","-","-"
"BraA04003012",-5.578070640508,6.36002866237767,71.4394388248826,9.79916592744087e-08,1.17530240117538e-06,"BraA04003012","BraA04003012","AT4G13770","CYP83A1","cytochrome P450, family 83, subfamily A, polypeptide 1","-","-"
"BraA09005866",-3.23481469605744,7.0706700318157,71.2990348102344,9.9423111054142e-08,1.18975062779314e-06,"BraA09005866","BraA09005866","AT2G21530","AT2G21530","SMAD/FHA domain-containing protein","-","-"
"BraA04001173",-4.53194987641276,11.9094838426104,71.1858932508377,1.00593505133971e-07,1.2010162342854e-06,"BraA04001173","BraA04001173","AT5G38430","RBCS1B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA02004104",3.47264089014039,7.55048424126778,71.1315613881919,1.0116096856695e-07,1.20504844918208e-06,"BraA02004104","BraA02004104","AT5G25560","AT5G25560","CHY-type/CTCHY-type/RING-type Zinc finger protein","-","-"
"BraA01001854",-8.64328262493713,3.4220488854879,71.0821687008904,1.01679928879783e-07,1.20757385724699e-06,"BraA01001854","BraA01001854","AT4G26790","AT4G26790","GDSL-like Lipase/Acylhydrolase superfamily protein","-","-"
"BraA09004668",-5.6713232273124,6.69223199599381,70.9773167330114,1.02791410194104e-07,1.21724103589348e-06,"BraA09004668","BraA09004668","AT3G52720","ACA1","alpha carbonic anhydrase 1","-","-"
"BraA07000983",3.45545903007816,5.94821160975885,70.9584282058121,1.02993067238604e-07,1.21724103589348e-06,"BraA07000983","BraA07000983","AT1G30820","AT1G30820","CTP synthase family protein","-","-"
"BraA07003782",3.25186963181462,3.25686461362107,70.8051308025241,1.04646030140338e-07,1.23164542280356e-06,"BraA07003782","BraA07003782","AT1G75540","BBX21","salt tolerance homolog2","YES","-"
"BraA01001964",3.18943266487137,5.7206577030584,70.7880041425835,1.04832522841646e-07,1.23199744543401e-06,"BraA01001964","BraA01001964","AT4G27740","AT4G27740","Yippee family putative zinc-binding protein","-","-"
"BraA08002431",3.32889476585374,5.23852706224375,70.6347104110326,1.06518263472648e-07,1.24731531480535e-06,"BraA08002431","BraA08002431","AT4G40060","HB16","homeobox protein 16","YES","YES"
"BraA09002744",-3.49115738586154,5.41961005513913,70.633448122674,1.06532268880173e-07,1.24731531480535e-06,"BraA09002744","BraA09002744","AT4G11010","NDPK3","nucleoside diphosphate kinase 3","-","-"
"BraA03001585",4.14673869371939,3.61217833335423,70.6194431123701,1.06687795174473e-07,1.24820754265093e-06,"BraA03001585","BraA03001585","AT5G52120","PP2-A14","phloem protein 2-A14","-","-"
"BraA06000894",-5.54029125174695,3.96006506814413,70.426480728721,1.08856500331654e-07,1.26886362164363e-06,"BraA06000894","BraA06000894","AT1G51630","MSR2","O-fucosyltransferase family protein","-","-"
"BraA06002253",3.06495145507765,3.17070469101205,70.351068259097,1.09717318711316e-07,1.27606188266169e-06,"BraA06002253","BraA06002253","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA02000260",4.43777609335876,2.66594167105826,70.1370499637921,1.12201710392393e-07,1.2982397902461e-06,"BraA02000260","BraA02000260","AT5G07680","NAC080","NAC domain containing protein 80","YES","YES"
"BraA09004600",4.54343744360959,8.75508727612716,70.0766679152603,1.129138880845e-07,1.30360450689486e-06,"BraA09004600","BraA09004600","AT3G51840","ACX4","acyl-CoA oxidase 4","-","-"
"BraA01000282",-3.13679857137168,3.50814231333423,69.8780190618403,1.15292486771878e-07,1.32523197358822e-06,"BraA01000282","BraA01000282","AT4G35920","MCA1","PLAC8 family protein","-","-"
"BraA06002309",-4.06702162920568,4.21863662569156,69.5185336789201,1.19739581382158e-07,1.36636842105122e-06,"BraA06002309","BraA06002309","AT1G21350","AT1G21350","Thioredoxin superfamily protein","-","-"
"BraA07001673",-3.18421554940106,3.81963513437451,69.5106192001566,1.19839607229715e-07,1.36651888359912e-06,"BraA07001673","BraA07001673","AT5G67100","ICU2","DNA-directed DNA polymerase","-","YES"
"BraA03000600",-3.11617309781482,6.41068075656683,69.430757275609,1.20854133662336e-07,1.37212167915622e-06,"BraA03000600","BraA03000600","AT5G13370","AT5G13370","Auxin-responsive GH3 family protein","-","-"
"BraA01002566",3.90583012808595,6.28698549564319,69.4079471724116,1.21145648992436e-07,1.37344951912462e-06,"BraA01002566","BraA01002566","AT3G48530","KING1","SNF1-related protein kinase regulatory subunit gamma 1","-","-"
"BraA04002828",-5.26142369272352,3.5036228391299,69.3979540900242,1.21273607273554e-07,1.37391035569233e-06,"BraA04002828","BraA04002828","AT2G39420","AT2G39420","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03003329",6.73386046636262,7.95872684363276,69.355373468523,1.21820522247789e-07,1.37911348064115e-06,"BraA03003329","BraA03003329","AT3G03470","CYP89A9","cytochrome P450, family 87, subfamily A, polypeptide 9","-","-"
"BraA06002572",-3.06477929361916,4.05996024774692,69.2030101117307,1.23800045728379e-07,1.39450072983663e-06,"BraA06002572","BraA06002572","AT3G47590","AT3G47590","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA08002394",3.02931001897915,3.85883456571754,69.1277444239758,1.24791057022411e-07,1.4026514809319e-06,"BraA08002394","BraA08002394","AT2G02760","UBC2","ubiquiting-conjugating enzyme 2","-","-"
"BraA01002939",3.56145322324357,6.16453273822098,69.1204512144578,1.24887552394913e-07,1.40273413596457e-06,"BraA01002939","BraA01002939","AT1G58180","BCA6","beta carbonic anhydrase 6","-","-"
"BraA07001523",7.4641932727051,4.72309336885792,69.0640391090132,1.25636735692311e-07,1.40913732919045e-06,"BraA07001523","BraA07001523","AT1G21000","AT1G21000","PLATZ transcription factor family protein","-","-"
"BraA06003050",-9.71460530356499,3.47292991928407,78.3226836558838,1.26205086429906e-07,1.41349696801495e-06,"BraA06003050","BraA06003050","AT5G62730","AT5G62730","Major facilitator superfamily protein","-","-"
"BraA07003033",-7.22304417958662,4.04781548462979,68.8543319047147,1.28465807439034e-07,1.43371485522031e-06,"BraA07003033","BraA07003033","AT1G65980","TPX1","thioredoxin-dependent peroxidase 1","-","-"
"BraA03000990",-3.19997082276811,7.59754966888574,68.7669510594924,1.29665429949442e-07,1.44407743795699e-06,"BraA03000990","BraA03000990","AT5G19940","AT5G19940","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA02001054",-3.28040093999767,6.50092141788508,68.6943581286727,1.30671490425322e-07,1.45317779034125e-06,"BraA02001054","BraA02001054","AT5G22390","AT5G22390","FANTASTIC four-like protein (DUF3049)","-","-"
"BraA09001455",4.1759594011884,5.27270381418729,68.5064810190937,1.33315720035865e-07,1.4763238356681e-06,"BraA09001455","BraA09001455","AT1G64230","UBC28","ubiquitin-conjugating enzyme 28","-","-"
"BraA05002427",-6.02714717808991,7.05692531562392,68.44063540703,1.34256454956406e-07,1.48256812294316e-06,"BraA05002427","BraA05002427","AT1G32080","LrgB","membrane protein","-","-"
"BraA01001471",-7.6675116929819,6.18884456660736,68.3152295967825,1.36068567495709e-07,1.4983729727869e-06,"BraA01001471","BraA01001471","AT4G11650","OSM34","osmotin 34","-","-"
"BraA09000476",5.46798350566921,5.13131867696401,68.2525948345857,1.36983789073688e-07,1.50529113468126e-06,"BraA09000476","BraA09000476","AT5G49450","bZIP1","basic leucine-zipper 1","YES","-"
"BraA03006434",4.27261864150337,5.52837452316151,68.1484327993267,1.3852097277715e-07,1.51583172991741e-06,"BraA03006434","BraA03006434","AT4G36400","D2HGDH","FAD-linked oxidases family protein","-","-"
"BraA08001745",-6.91275581634416,4.79713029300867,67.966029506334,1.41259133219286e-07,1.53937238250602e-06,"BraA08001745","BraA08001745","AT4G33790","CER4","Jojoba acyl CoA reductase-related male sterility protein","-","-"
"BraA03005224",3.80528325291085,4.17045860825257,67.874163435212,1.42660887755341e-07,1.55357213129276e-06,"BraA03005224","BraA03005224","AT4G19860","AT4G19860","alpha/beta-Hydrolases superfamily protein","-","-"
